"","subj","RT","subj_mean_rt","normRT"
"2528","CCC01_18",710,2112.69230769231,258.97665454944
"2529","CCC01_18",1501,2112.69230769231,1049.97665454944
"2530","CCC01_18",1235,2112.69230769231,783.97665454944
"2531","CCC01_18",2845,2112.69230769231,2393.97665454944
"2532","CCC01_18",1118,2112.69230769231,666.97665454944
"2533","CCC01_18",1804,2112.69230769231,1352.97665454944
"2534","CCC01_18",2528,2112.69230769231,2076.97665454944
"2535","CCC01_18",856,2112.69230769231,404.97665454944
"2536","CCC01_18",1089,2112.69230769231,637.97665454944
"2537","CCC01_18",768,2112.69230769231,316.97665454944
"2538","CCC01_18",1461,2112.69230769231,1009.97665454944
"2539","CCC01_18",1454,2112.69230769231,1002.97665454944
"2540","CCC01_18",4295,2112.69230769231,3843.97665454944
"2541","CCC01_18",2981,2112.69230769231,2529.97665454944
"2542","CCC01_18",2578,2112.69230769231,2126.97665454944
"2543","CCC01_18",3208,2112.69230769231,2756.97665454944
"2544","CCC01_18",1629,2112.69230769231,1177.97665454944
"2545","CCC01_18",1534,2112.69230769231,1082.97665454944
"2546","CCC01_18",2580,2112.69230769231,2128.97665454944
"2547","CCC01_18",689,2112.69230769231,237.97665454944
"2548","CCC01_18",2437,2112.69230769231,1985.97665454944
"2549","CCC01_18",1487,2112.69230769231,1035.97665454944
"2550","CCC01_18",1233,2112.69230769231,781.97665454944
"2551","CCC01_18",2802,2112.69230769231,2350.97665454944
"2552","CCC01_18",1390,2112.69230769231,938.97665454944
"2553","CCC01_18",1186,2112.69230769231,734.97665454944
"2554","CCC01_18",1548,2112.69230769231,1096.97665454944
"2555","CCC01_18",1067,2112.69230769231,615.97665454944
"2556","CCC01_18",874,2112.69230769231,422.97665454944
"2557","CCC01_18",1449,2112.69230769231,997.97665454944
"2558","CCC01_18",1076,2112.69230769231,624.97665454944
"2559","CCC01_18",1804,2112.69230769231,1352.97665454944
"2560","CCC01_18",1127,2112.69230769231,675.97665454944
"2561","CCC01_18",1284,2112.69230769231,832.97665454944
"2562","CCC01_18",1164,2112.69230769231,712.97665454944
"2563","CCC01_18",1448,2112.69230769231,996.97665454944
"2564","CCC01_18",1475,2112.69230769231,1023.97665454944
"2565","CCC01_18",1426,2112.69230769231,974.97665454944
"2566","CCC01_18",1781,2112.69230769231,1329.97665454944
"2567","CCC01_18",1384,2112.69230769231,932.97665454944
"2568","CCC01_18",2533,2112.69230769231,2081.97665454944
"2569","CCC01_18",1612,2112.69230769231,1160.97665454944
"2570","CCC01_18",837,2112.69230769231,385.97665454944
"2571","CCC01_18",1944,2112.69230769231,1492.97665454944
"2572","CCC01_18",1972,2112.69230769231,1520.97665454944
"2573","CCC01_18",1114,2112.69230769231,662.97665454944
"2574","CCC01_18",1095,2112.69230769231,643.97665454944
"2575","CCC01_18",1063,2112.69230769231,611.97665454944
"2576","CCC01_18",959,2112.69230769231,507.97665454944
"2577","CCC01_18",1108,2112.69230769231,656.97665454944
"2578","CCC01_18",707,2112.69230769231,255.97665454944
"2579","CCC01_18",841,2112.69230769231,389.97665454944
"2580","CCC01_18",961,2112.69230769231,509.97665454944
"2581","CCC01_18",1078,2112.69230769231,626.97665454944
"2582","CCC01_18",885,2112.69230769231,433.97665454944
"2583","CCC01_18",662,2112.69230769231,210.97665454944
"2584","CCC01_18",1126,2112.69230769231,674.97665454944
"2585","CCC01_18",1115,2112.69230769231,663.97665454944
"2586","CCC01_18",1161,2112.69230769231,709.97665454944
"2587","CCC01_18",2727,2112.69230769231,2275.97665454944
"2588","CCC01_18",1293,2112.69230769231,841.97665454944
"2589","CCC01_18",916,2112.69230769231,464.97665454944
"2590","CCC01_18",1211,2112.69230769231,759.97665454944
"2591","CCC01_18",1214,2112.69230769231,762.97665454944
"2592","CCC01_18",1920,2112.69230769231,1468.97665454944
"2593","CCC01_18",870,2112.69230769231,418.97665454944
"2594","CCC01_18",1760,2112.69230769231,1308.97665454944
"2595","CCC01_18",939,2112.69230769231,487.97665454944
"2596","CCC01_18",785,2112.69230769231,333.97665454944
"2597","CCC01_18",2189,2112.69230769231,1737.97665454944
"2598","CCC01_18",1096,2112.69230769231,644.97665454944
"2599","CCC01_18",2180,2112.69230769231,1728.97665454944
"2600","CCC01_18",2537,2112.69230769231,2085.97665454944
"2601","CCC01_18",950,2112.69230769231,498.97665454944
"2602","CCC01_18",883,2112.69230769231,431.97665454944
"2603","CCC01_18",1163,2112.69230769231,711.97665454944
"2604","CCC01_18",1912,2112.69230769231,1460.97665454944
"2605","CCC01_18",2064,2112.69230769231,1612.97665454944
"2606","CCC01_18",1920,2112.69230769231,1468.97665454944
"2607","CCC01_18",831,2112.69230769231,379.97665454944
"2608","CCC01_18",1057,2112.69230769231,605.97665454944
"2609","CCC01_18",856,2112.69230769231,404.97665454944
"2610","CCC01_18",1817,2112.69230769231,1365.97665454944
"2611","CCC01_18",2516,2112.69230769231,2064.97665454944
"2612","CCC01_18",1540,2112.69230769231,1088.97665454944
"2613","CCC01_18",3036,2112.69230769231,2584.97665454944
