subj,mean_RT,mean_Acc,num_TO,num_trials,repeated_arrow_1,repeated_arrow_2,repeated_arrow_3,repeated_arrow_4,repeated_arrow_5,repeated_arrow_6,repeated_arrow_7,repeated_arrow_8,repeated_arrow_9,repeated_arrow_10,repeated_no arrow_1,repeated_no arrow_2,repeated_no arrow_3,repeated_no arrow_4,repeated_no arrow_5,repeated_no arrow_6,repeated_no arrow_7,repeated_no arrow_8,repeated_no arrow_9,repeated_no arrow_10,random_arrow_1,random_arrow_2,random_arrow_3,random_arrow_4,random_arrow_5,random_arrow_6,random_arrow_7,random_arrow_8,random_arrow_9,random_arrow_10,random_no arrow_1,random_no arrow_2,random_no arrow_3,random_no arrow_4,random_no arrow_5,random_no arrow_6,random_no arrow_7,random_no arrow_8,random_no arrow_9,random_no arrow_10
22,2596.6243125,0.971875,9,320,1827.502857142857,1730.6,1595.3025,1487.305,1753.095,2744.9666666666667,2946.575,2726.0125,3117.4875,2030.9,2606.057142857143,2753.7666666666664,2464.942857142857,2514.9125,2349.45,2614.725,2980.875,2134.425,2708.9125,2245.866666666667,1439.63,1170.21875,1623.4437500000001,1311.0325,1026.65,2752.6875,1891.7957142857142,2293.9,1892.2571428571428,2178.1285714285714,2500.95,2765.1875,3311.8,2756.9875,3095.416666666667,2291.0375,2724.7,2725.2125,3047.075,2593.842857142857
23,1936.27296875,0.98125,6,320,1380.5439999999999,1392,913.88375,1131.575,1055.12,1373.52,1655.38875,1578.9514285714286,1210.0733333333333,1182.36625,2593.9666666666667,2150.35,1808.9666666666667,2337.7599999999998,1836.9583333333333,1457.22125,1529.5383333333334,1326.78,1278.4914285714285,1523.1875,1895.08,1882.6571428571428,1596.8871428571429,1225.958,1704.164,1565.1285714285714,1997.67,1761.59125,1663.645,1393.00625,1779.96,1916.2783333333334,1662.46,1854.3625,2033.0333333333333,1712.8157142857142,1246.5983333333334,1501.775,2165.4,1278.24375
24,3159.47434375,0.953125,15,320,2733.75,1912.8714285714286,2012.7625,1554.0375,1853.4875,2429.625,3225.2571428571428,2671.175714285714,2636.9725,2592.1462500000002,3482.1,3507.7875,3136.3166666666666,4242.533333333333,3262.6875,3205.7714285714287,2872.6285714285714,3133.903333333333,2292,3188.75,2534.6124999999997,2724.7525,2892.214285714286,1901.975,1525.6166666666668,3660.5857142857144,3329.833333333333,2538.3,2807.357142857143,2343.3,2784.2428571428572,2849.485714285714,3318.35,2707.114285714286,3456.714285714286,2633.1375,2480.9,1814.7285714285715,2507.68375,2912.0142857142855
25,2026.15134375,0.98125,6,320,1791.77375,1361.705,1242.27625,1241.5325,1023.2183333333334,1871.925,1663.78875,1729.7875,1693.085,1556.7714285714285,2442.633333333333,2551,2345.686,2465.714285714286,1912.05875,1304.5814285714287,1701.0914285714287,1638.3,1490.5885714285714,1444.11125,1553.2757142857142,1246.50625,796.19625,958.39625,896.37625,1219.75625,1385.205,1607.11,1940.4133333333334,1610.9785714285715,2546.6666666666665,3187.8,2656.2833333333333,2583.3714285714286,1715.3428571428572,2318.3625,1739.7433333333333,1669.1625,1660.0875,1570.885
26,2007.968625,0.996875,1,320,1851.5825,1880.705,1882.2749999999999,1464.8875,1741.9125,2122.5125000000003,1554.625,1616.575,1454.22,1361.80875,2163.06,3051.1857142857143,2116.22125,1292.5833333333335,2283.214285714286,1198.15125,1588.1625,1578.6875,1110.11625,1057.48375,1247.41,1756.6142857142856,1929.175,1842.775,2141.3371428571427,1735.9,1569.297142857143,1944.93,1896.4325,1642.82875,2380.7285714285713,3248.8375,2617.9571428571426,2376.32,2733.65,2009.4125000000001,1869.675,2032.3375,1534.79125,1680.9857142857143
27,1799.47709375,0.990625,3,320,1227.9185714285713,947.95,1161.4075,1048.33125,856.0550000000001,1427.8,1706.1087499999999,1430.81375,1618.32,1584.6725000000001,2225.3333333333335,1513.50625,1675.3,1950.15,1556.5142857142857,1758.5375,1674.575,1293.205,1815.6125,2065.6857142857143,1656.5214285714285,1895.1924999999999,1510.2675,1493.8025,1169.67125,1830.275,1830.2625,1899.2942857142857,1583.5875,1353.1957142857143,1996.7,1349.1985714285715,2115.5,2304.395,1977.5875,1528.3257142857142,1844.87625,1808.1142857142856,1750.9775,1884.4712499999998
28,1428.86921875,0.996875,1,320,1487.0457142857144,1179.0025,1162.93375,889.3975,899.7371428571429,1568.71625,1199.97625,1060.77625,1100.9414285714286,1103.5025,2134.0833333333335,1855.0285714285715,1725.35,1643.6475,1823.525,1166.11875,956.77125,936.89625,1212.9471428571428,1118.1775,1680.2,1269.8525,1342.2275,1047.05875,845.23,1507.505,1385.7828571428572,1190.49375,1100.4725,1196.847142857143,1848.275,2036.1833333333334,1707.8833333333332,1724.28375,1450.5857142857142,1453.25625,1426.6775,1011.05375,1204.06125,1338.65625
29,1852.57378125,0.99375,2,320,1645.33375,1230.7675,1136.7975,1004.2375,1046.765,1602.21875,1662.645,1404.98875,1854.33,1492.7337499999999,2550.2375,1995.0271428571427,1715.01875,1692.1285714285714,1659.8616666666667,1671.4125000000001,1019.8,1227.805,1447.7571428571428,1200.5385714285715,1816.952857142857,1542,1379.83125,1265.0442857142857,1996.3999999999999,2283.65,2510.725,2165.2125,2117.5,1648.23,1652.6514285714286,2157.2287499999998,1740.5842857142857,2254.09375,2119.657142857143,1977.9714285714285,2505.441428571429,2184.83875,1813.20375,1503.1100000000001
30,2754.8178125,0.984375,5,320,2578.7875,2369.4500000000003,1968.3125,2238.55,1684.53,1910.3285714285714,2802.7571428571428,2617.9125,2051.225,2356.15,3593.65,3014.15,3471.4857142857145,2363.8142857142857,2856.3,2842.85,2077.7714285714287,2148.7375,2449.725,1967.0714285714284,2708.6285714285714,2341.2,2150.7374999999997,1511.325,1572.6625,2984.9142857142856,2570.7000000000003,2403.4325,2645.3,2567.0285714285715,3737.7571428571428,3582.8,3886.8714285714286,2926.1375,2994.3166666666666,2190.4714285714285,2433.6666666666665,2820.557142857143,2696.45,2267.975
31,1743.84078125,0.996875,1,320,1553.22125,1281.56625,1295.34125,979.74875,1105.41875,1252.41375,1088.7375,1619.0025,1466.61375,1306.18375,2460.3,2185.4285714285716,2389.614285714286,2153.9,2081.4375,2061.3125,1746.275,1611.2425,2021.825,1533.52625,1529.8542857142857,1154.775,973.18875,959.40875,1011.255,1767.1714285714286,1800.05,1781.1325,2098.25,1761.3375,2165.4657142857145,2091.4333333333334,1728.1671428571428,2066.6833333333334,1745.5,1635.32375,1621.30125,1707.5125,1301.19125,1777.2142857142858
32,1686.5480625,0.98125,6,320,1537.23125,1238.7475,1022.4499999999999,903.015,857.9725,1561.9471428571428,1196.2171428571428,1177.83375,1483.7514285714285,1275.165,2349.18,2205.366666666667,1795.528,1923.7,1025.3228571428572,1527.35375,1538.57875,1407.44,1070.2275,818.6971428571428,1339.1842857142858,893.27375,1217.97375,909.2475,1019.78875,1262.94375,1374.93375,1018.56625,1169.1328571428571,1434.8042857142857,2006.36,1754.58,1993.85,2089.457142857143,2123.325,2109.6,1853.00375,1260.39,1726.3614285714286,1052.44875
33,2194.94328125,0.965625,11,320,2287.542857142857,1927.242857142857,1725.11,1456.0975,1992.575,1557.8125,1402.8625,1760.85375,1518.7042857142856,1553.3625,1890.275,1974.7,1597.827142857143,1255.7625,1547.2037500000001,1610.68125,1625.4125,1239.845,1244.2571428571428,1453.40875,2674.8166666666666,2216.1,2299.28,2014.7285714285715,1778.557142857143,2734.596666666667,1785.875,1969.8999999999999,1918.9875,2206.6875,2210.3424999999997,2202.6666666666665,1677.006,2206.2428571428572,1767.1866666666667,1979.037142857143,1318.30625,1346.892857142857,2419.5471428571427,1522.33875
34,2274.7445625,0.940625,19,320,1375.1412500000001,1137.03125,910.14,1160.38625,1433.2171428571428,1856.01375,1864.8085714285714,1823.75125,2068.70875,1646.5457142857144,1716.90375,1366.8214285714284,2027.5249999999999,1757.2383333333335,2122.375,1875.0625,1500.0428571428572,1519.0814285714287,1259.745,1180.94375,1580.845,1057.7685714285715,1105.815,941.74625,1512.5075,2649.162,2466.8625,1932.2516666666668,1807.77125,2015.44625,2327.3683333333333,2237.7666666666664,2259.24,1701.325,1991.057142857143,2226.3716666666664,1713.6616666666666,1228.3875,1617.568,1456.5214285714285
35,2804.1053125,0.94375,18,320,2214.2375,2179.0857142857144,2316.69625,1776.4485714285713,1904.9125000000001,2119.1,2615.6857142857143,2603.1675,1697.4675,1356.48625,2445.84,2258.1,2463.58,2537.18,2820.1375,2774.3875,2019.5142857142857,1874.3775,1902.287142857143,2188.37,2167.233333333333,2511.2766666666666,1674.45,1998.68875,2295.542857142857,2092.5875,2549.6875,1878.6125,2489.98125,2289.2314285714288,3161.7666666666664,2918.2428571428572,2366.5,2836.2333333333336,2665.7833333333333,2816.2775,2385.042857142857,1934.65,1785.5725,2251.06125
